story,question,answer,data_source
"On the shelf, there is a bottle. It is full of beer, there is no wine in it. Yet, the label on this bottle says 'wine' and not 'beer'. Mark walks into the room and notices the bottle. He has never seen it before. He reads the label.",What does Mark think is in the bottle?,wine,kosinski
"On the shelf in the company's headquarters, there is a hard drive that contains only audio files and no video files. Yet, confusingly, its label clearly states 'video files' and not 'audio files'. The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label.",What does the computer engineer think is on the hard drive?,video files,kosinski
"In the freezer, there is a container filled with ice cream. There is no jam in it. Yet, the label says 'jam' and not 'ice cream'. The label is wrong. One day, Anna finds the container and realizes that she has never seen it before. She cannot see what is inside the container. She reads the label.",What does Anna think is in the container?,jam,kosinski
"A shipping container full of salt arrives at Amsterdam port. There is no sugar in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains sugar. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside.",What does the customs officer think is in the container?,sugar,kosinski
"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pens, and there are no pencils in it. Yet, it is labeled with the word 'pencils'. The first attendee walks into the room and sits in a chair in front of the box. He reads the label.",What does the attendee think is in the box?,pencils,kosinski
"Inside the fridge of the Airbnb host's kitchen is a can labeled as 'tuna'. However, the can actually contains sardines and no tuna. Jill, a guest who just arrived at the house, opens the fridge and sees the can. She cannot see what is inside the can, but she reads the label.",What does Jill think is in the can?,tuna,kosinski
"There is a paper envelope lying in front of Julia's door. The envelope is filled with leaflets, and there are no receipts in it. Yet, a label with the word 'receipts' is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label.",What does Julia's neighbor think is in the paper envelope?,receipts,kosinski
"A vault that's been unopened for over 100 years has just been unlocked. Inside lies a closed box with an engraving on it that reads 'books'. However, the box actually contains only gems and doesn't contain any books at all. An inspector approaches the vault. He cannot see what is inside the box. He reads the engraving.",What does the inspector think is in the box?,books,kosinski
"A bottle filled with perfume sits on the counter of a department store. There is no water inside it, however, the bottle bears the label 'water' instead of 'perfume'. A new customer walks up to the counter and notices the bottle. He reads the label.",What does the customer think is in the bottle?,water,kosinski
"In an abandoned mansion, a forensics team is inspecting a crime scene. Next to the body is a metal box. It contains cocaine, but it remains closed, and no one can see what is inside. The label on this metal box says heroin. The lead detective, who's just arrived on the scene, crouches down to inspect the metal box. He cannot see what is inside the metal box, but he reads the label.",What does the lead detective think is in the metal box?,heroin,kosinski
"The morning of the high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarah's bed.","When Sarah gets ready, does she assume her shoes are under her dress?",yes,dodell-feder
Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first.,"When Sally and Greg arrive, do they find their cabin unoccupied?",no,dodell-feder
"When Jeff got ready this morning, he put on a light pink shirt instead of a white one. Jeff is colorblind, so he can't tell the difference between subtle shades of color.",Does Jeff believe he is wearing a white shirt?,yes,dodell-feder
"Larry chose a debated topic for his class paper due on Friday. The news on Thursday indicated that the debate had been solved, but Larry never read it.","When Larry writes his paper, does he think the debate has been solved?",no,dodell-feder
"Every day Jill goes to the coffee shop on the corner and orders a latte, her favorite drink. Today, the cashier misunderstands Jill and prepares a mocha instead.",Does Jill think her drink will taste like a mocha?,yes,dodell-feder
"Amy walked to work today. When George woke up, he saw her car in the drive. Her room was quiet and dark. George knows that when Amy is sick, she lies down in a dark room.",Does George think Amy is sick today?,yes,dodell-feder
John told Mary that he had lost his keys. The two of them searched the house with no luck. Then Mary went outside to look in the car. Suddenly John noticed his keys behind the sofa.,"By the time Mary comes in, does John know where his keys are?",yes,dodell-feder
